timeStamp,elapsed,label,responseMessage
1354360716963,5,viewCart,OK
1354360716944,118,listMovieByCategory,OK
1354360717065,185,viewCart,OK
1354360708759,10258,searchMovie,OK
1354360719023,36,searchUser,OK
1354360719159,15,signInUser,OK
1354360719177,4,listCategories,OK
1354360719186,16,listMovieByCategory,OK
1354360719208,5,viewCart,OK
1354360709832,9627,searchMovie,OK
1354360719464,37,searchUser,OK
1354360709335,10177,searchMovie,OK
1354360719612,7,signInUser,OK
1354360713783,5835,searchMovie,OK
1354360719622,5,listCategories,OK
1354360719612,23,searchUser,OK
1354360719623,154,searchUser,OK
1354360719649,140,signInUser,OK
1354360719784,8,signInUser,OK
1354360719792,5,listCategories,OK
